日期	时间	模式	左前	右前	左后	右后	经度	纬度	速度	航向	差分	俯仰角	侧倾角	纵向加速度	实际转向角	转向角命令	转向角速度命令
20180902_23:51:08	1535903468.570898	1	3.769	3.712	3.712	3.712	117.403618	39.554367	3.897	99.568	4	-0.553	0.441	0.14210	13.00000	0.000000	0.000000
20180902_23:51:08	1535903468.586498	1	3.881	3.881	3.881	3.769	117.403617	39.554368	4.006	99.539	4	-0.552	0.437	0.43316	10.00000	0.000000	0.000000
20180902_23:51:08	1535903468.602098	1	3.938	3.881	3.938	3.881	117.403617	39.554368	4.006	99.539	4	-0.552	0.437	0.43316	10.00000	0.000000	0.000000
20180902_23:51:08	1535903468.617698	1	3.938	3.881	3.938	3.881	117.403617	39.554368	4.006	99.539	4	-0.552	0.437	0.43316	10.00000	0.000000	0.000000
20180902_23:51:08	1535903468.633298	1	3.994	3.994	3.994	3.994	117.403617	39.554368	4.006	99.539	4	-0.552	0.437	0.43316	8.00000	0.000000	0.000000
20180902_23:51:08	1535903468.648898	1	3.994	3.994	3.994	3.994	117.403617	39.554369	4.125	99.512	4	-0.557	0.440	0.84280	8.00000	0.000000	0.000000
20180902_23:51:08	1535903468.664498	1	4.106	4.050	4.050	4.050	117.403617	39.554369	4.125	99.512	4	-0.557	0.440	0.84280	6.00000	0.000000	0.000000
20180902_23:51:08	1535903468.680098	1	4.106	4.050	4.050	4.050	117.403617	39.554369	4.125	99.512	4	-0.557	0.440	0.84280	6.00000	0.000000	0.000000
20180902_23:51:08	1535903468.695698	1	4.106	4.106	4.106	4.106	117.403617	39.554369	4.125	99.512	4	-0.557	0.440	0.84280	4.00000	0.000000	0.000000
20180902_23:51:08	1535903468.711298	1	4.106	4.106	4.106	4.106	117.403617	39.554369	4.249	99.491	4	-0.559	0.451	0.27930	4.00000	0.000000	0.000000
20180902_23:51:08	1535903468.726898	1	4.219	4.163	4.219	4.106	117.403617	39.554369	4.249	99.491	4	-0.559	0.451	0.27930	2.00000	0.000000	0.000000
20180902_23:51:08	1535903468.742498	1	4.219	4.163	4.219	4.106	117.403617	39.554369	4.249	99.491	4	-0.559	0.451	0.27930	2.00000	0.000000	0.000000
20180902_23:51:08	1535903468.758098	1	4.219	4.219	4.219	4.219	117.403617	39.554369	4.249	99.491	4	-0.559	0.451	0.27930	0.00000	0.000000	0.000000
20180902_23:51:08	1535903468.773698	1	4.219	4.219	4.219	4.219	117.403617	39.554370	4.368	99.477	4	-0.556	0.464	0.64288	0.00000	0.000000	0.000000
20180902_23:51:08	1535903468.789298	1	4.331	4.275	4.275	4.275	117.403617	39.554370	4.368	99.477	4	-0.556	0.464	0.64288	-2.00000	0.000000	0.000000
20180902_23:51:08	1535903468.804898	1	4.331	4.275	4.275	4.275	117.403617	39.554370	4.368	99.477	4	-0.556	0.464	0.64288	-2.00000	0.000000	0.000000
20180902_23:51:08	1535903468.820498	1	4.331	4.388	4.331	4.331	117.403617	39.554370	4.368	99.477	4	-0.556	0.464	0.64288	-4.00000	0.000000	0.000000
20180902_23:51:08	1535903468.836098	1	4.331	4.388	4.331	4.331	117.403617	39.554371	4.471	99.467	4	-0.555	0.470	0.60956	-4.00000	0.000000	0.000000
20180902_23:51:08	1535903468.851698	1	4.444	4.444	4.388	4.444	117.403617	39.554371	4.471	99.467	4	-0.555	0.470	0.60956	-5.00000	0.000000	0.000000
20180902_23:51:08	1535903468.867298	1	4.444	4.444	4.388	4.444	117.403617	39.554371	4.471	99.467	4	-0.555	0.470	0.60956	-5.00000	0.000000	0.000000
20180902_23:51:08	1535903468.882898	1	4.444	4.500	4.444	4.444	117.403617	39.554371	4.471	99.467	4	-0.555	0.470	0.60956	-7.00000	0.000000	0.000000
20180902_23:51:08	1535903468.898498	1	4.444	4.500	4.444	4.444	117.403617	39.554371	4.578	99.464	4	-0.566	0.477	0.11270	-7.00000	0.000000	0.000000
20180902_23:51:08	1535903468.914098	1	4.500	4.500	4.500	4.500	117.403617	39.554371	4.578	99.464	4	-0.566	0.477	0.11270	-9.00000	0.000000	0.000000
20180902_23:51:08	1535903468.929698	1	4.500	4.500	4.500	4.500	117.403617	39.554371	4.578	99.464	4	-0.566	0.477	0.11270	-9.00000	0.000000	0.000000
20180902_23:51:08	1535903468.945298	1	4.612	4.612	4.500	4.556	117.403617	39.554371	4.578	99.464	4	-0.566	0.477	0.11270	-10.00000	0.000000	0.000000
20180902_23:51:08	1535903468.960898	1	4.612	4.612	4.500	4.556	117.403616	39.554372	4.683	99.467	4	-0.576	0.481	-0.00294	-10.00000	0.000000	0.000000
20180902_23:51:08	1535903468.976498	1	4.612	4.669	4.612	4.612	117.403616	39.554372	4.683	99.467	4	-0.576	0.481	-0.00294	-11.00000	0.000000	0.000000
20180902_23:51:08	1535903468.992098	1	4.612	4.669	4.612	4.612	117.403616	39.554372	4.683	99.467	4	-0.576	0.481	-0.00294	-11.00000	0.000000	0.000000
20180902_23:51:09	1535903469.007698	1	4.669	4.669	4.669	4.669	117.403616	39.554372	4.683	99.467	4	-0.576	0.481	-0.00294	-12.00000	0.000000	0.000000
20180902_23:51:09	1535903469.023298	1	4.669	4.669	4.669	4.669	117.403616	39.554373	4.778	99.477	4	-0.577	0.480	0.43120	-12.00000	0.000000	0.000000
20180902_23:51:09	1535903469.038898	1	4.725	4.725	4.669	4.669	117.403616	39.554373	4.778	99.477	4	-0.577	0.480	0.43120	-13.00000	0.000000	0.000000
20180902_23:51:09	1535903469.054498	1	4.725	4.725	4.669	4.669	117.403616	39.554373	4.778	99.477	4	-0.577	0.480	0.43120	-13.00000	0.000000	0.000000
20180902_23:51:09	1535903469.070098	1	4.781	4.781	4.781	4.781	117.403616	39.554373	4.778	99.477	4	-0.577	0.480	0.43120	-15.00000	0.000000	0.000000
20180902_23:51:09	1535903469.085698	1	4.781	4.781	4.781	4.781	117.403616	39.554374	4.908	99.495	4	-0.582	0.471	0.59878	-15.00000	0.000000	0.000000
20180902_23:51:09	1535903469.101298	1	4.838	4.838	4.781	4.781	117.403616	39.554374	4.908	99.495	4	-0.582	0.471	0.59878	-17.00000	0.000000	0.000000
20180902_23:51:09	1535903469.116898	1	4.838	4.838	4.781	4.781	117.403616	39.554374	4.908	99.495	4	-0.582	0.471	0.59878	-17.00000	0.000000	0.000000
20180902_23:51:09	1535903469.132498	1	4.894	4.838	4.838	4.838	117.403616	39.554374	5.002	99.510	4	-0.585	0.465	0.15484	-19.00000	0.000000	0.000000
20180902_23:51:09	1535903469.148098	1	4.894	4.838	4.838	4.838	117.403616	39.554374	5.002	99.510	4	-0.585	0.465	0.15484	-19.00000	0.000000	0.000000
20180902_23:51:09	1535903469.163698	1	4.950	4.950	4.894	4.950	117.403616	39.554374	5.002	99.510	4	-0.585	0.465	0.15484	-22.00000	0.000000	0.000000
20180902_23:51:09	1535903469.179298	1	4.950	4.950	4.894	4.950	117.403616	39.554374	5.002	99.510	4	-0.585	0.465	0.15484	-22.00000	0.000000	0.000000
20180902_23:51:09	1535903469.194898	1	5.006	5.006	4.950	5.006	117.403616	39.554374	5.002	99.510	4	-0.585	0.465	0.15484	-24.00000	0.000000	0.000000
20180902_23:51:09	1535903469.210498	1	5.006	5.006	4.950	5.006	117.403616	39.554375	5.092	99.532	4	-0.582	0.461	0.69090	-24.00000	0.000000	0.000000
20180902_23:51:09	1535903469.226098	1	5.006	5.062	5.006	5.006	117.403616	39.554375	5.092	99.532	4	-0.582	0.461	0.69090	-28.00000	0.000000	0.000000
20180902_23:51:09	1535903469.241698	1	5.006	5.062	5.006	5.006	117.403616	39.554375	5.092	99.532	4	-0.582	0.461	0.69090	-28.00000	0.000000	0.000000
20180902_23:51:09	1535903469.257298	1	5.062	5.062	5.062	5.062	117.403616	39.554375	5.092	99.532	4	-0.582	0.461	0.69090	-30.00000	0.000000	0.000000
20180902_23:51:09	1535903469.272898	1	5.062	5.062	5.062	5.062	117.403616	39.554376	5.179	99.563	4	-0.581	0.467	0.37338	-30.00000	0.000000	0.000000
20180902_23:51:09	1535903469.288498	1	5.062	5.175	5.062	5.119	117.403616	39.554376	5.179	99.563	4	-0.581	0.467	0.37338	-34.00000	0.000000	0.000000
20180902_23:51:09	1535903469.304098	1	5.062	5.175	5.062	5.119	117.403616	39.554376	5.179	99.563	4	-0.581	0.467	0.37338	-34.00000	0.000000	0.000000
20180902_23:51:09	1535903469.319698	1	5.119	5.231	5.119	5.175	117.403616	39.554376	5.179	99.563	4	-0.581	0.467	0.37338	-37.00000	0.000000	0.000000
20180902_23:51:09	1535903469.335298	1	5.119	5.231	5.119	5.175	117.403616	39.554377	5.268	99.607	4	-0.585	0.482	0.09212	-37.00000	0.000000	0.000000
20180902_23:51:09	1535903469.350898	1	5.175	5.231	5.175	5.231	117.403616	39.554377	5.268	99.607	4	-0.585	0.482	0.09212	-41.00000	0.000000	0.000000
20180902_23:51:09	1535903469.366498	1	5.175	5.231	5.175	5.231	117.403616	39.554377	5.268	99.607	4	-0.585	0.482	0.09212	-41.00000	0.000000	0.000000
